what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.m2e.wtp.overlay.ui,1.1.0.20140611-1646,"org.eclipse.m2e.wtp.overlay.ui",1429837631188
stopped,bundle,org.eclipse.m2e.wtp.overlay,1.1.0.20140611-1646,"org.eclipse.m2e.wtp.overlay",1429837631188
stopped,bundle,org.eclipse.m2e.core.ui,1.5.1.20150109-1820,"org.eclipse.m2e.core.ui",1429837631188
stopped,bundle,org.eclipse.m2e.core,1.5.1.20150109-1820,"org.eclipse.m2e.core",1429837631188
stopped,bundle,org.eclipse.egit.mylyn.ui,3.4.2.201412180340-r,"org.eclipse.egit.mylyn.ui",1429837631188
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.14.2.v20150217-2341,"org.eclipse.mylyn.bugzilla.ui",1429837631189
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.14.2.v20150217-2341,"org.eclipse.mylyn.bugzilla.core",1429837631189
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.14.2.v20150218-0125,"org.eclipse.mylyn.context.tasks.ui",1429837631189
stopped,bundle,org.eclipse.mylyn.help.ui,3.14.2.v20150217-2341,"org.eclipse.mylyn.help.ui",1429837631189
stopped,bundle,org.eclipse.mylyn.java.tasks,3.14.2.v20150218-0125,"org.eclipse.mylyn.java.tasks",1429837631189
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.14.2.v20150217-2341,"org.eclipse.mylyn.tasks.bugs",1429837631189
stopped,bundle,org.eclipse.mylyn.tasks.index.core,3.14.2.v20150217-2341,"org.eclipse.mylyn.tasks.index.core",1429837631190
stopped,bundle,org.eclipse.mylyn.team.ui,3.14.2.v20150218-0125,"org.eclipse.mylyn.team.ui",1429837631190
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,2.3.2.v20150217-2315,"org.eclipse.mylyn.wikitext.tasks.ui",1429837631190
stopped,bundle,org.eclipse.mylyn.wikitext.context.ui,2.3.2.v20150217-2315,"org.eclipse.mylyn.wikitext.context.ui",1429837631190
stopped,bundle,org.eclipse.mylyn.wikitext.core.ant,2.3.2.v20150217-2315,"org.eclipse.mylyn.wikitext.core.ant",1429837631207
stopped,bundle,org.eclipse.mylyn.wikitext.ui,2.3.2.v20150217-2315,"org.eclipse.mylyn.wikitext.ui",1429837631207
stopped,bundle,org.eclipse.mylyn.wikitext.core.osgi,2.3.2.v20150217-2315,"org.eclipse.mylyn.wikitext.core.osgi",1429837631232
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.500.v201405151744,"org.eclipse.jst.server.generic.jonas",1429837631233
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.600.v201402262303,"org.eclipse.jst.server.generic.ui",1429837631233
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.900.v201402262303,"org.eclipse.jst.server.generic.core",1429837631233
stopped,bundle,org.eclipse.mylyn.ide.ant,3.14.2.v20150218-0125,"org.eclipse.mylyn.ide.ant",1429837631233
stopped,bundle,org.eclipse.ant.ui,3.5.500.v20140521-1557,"org.eclipse.ant.ui",1429837631233
stopped,bundle,org.eclipse.ant.launching,1.0.400.v20140518-0030,"org.eclipse.ant.launching",1429837631233
stopped,bundle,org.eclipse.egit.ui,3.4.2.201412180340-r,"org.eclipse.egit.ui",1429837631233
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.300.v20140407-1803,"org.eclipse.equinox.p2.ui.sdk",1429837631233
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.400.v201311302002,"org.eclipse.jst.server.tomcat.ui",1429837631233
stopped,bundle,org.eclipse.jst.server.ui,1.1.300.v201309182039,"org.eclipse.jst.server.ui",1429837631233
stopped,bundle,org.eclipse.mylyn.java.ui,3.14.2.v20150218-0125,"org.eclipse.mylyn.java.ui",1429837631233
stopped,bundle,org.eclipse.jdt.junit,3.7.300.v20140418-0836,"org.eclipse.jdt.junit",1429837631233
stopped,bundle,org.eclipse.jpt.jpa.annotate,1.0.100.v201309261652,"org.eclipse.jpt.jpa.annotate",1429837631234
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core.ddlgen,2.2.100.v201309202144,"org.eclipse.jpt.jpa.eclipselink.core.ddlgen",1429837631234
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core,2.4.0.v201309122001,"org.eclipse.jpt.jpa.eclipselink.core",1429837631234
stopped,bundle,org.eclipse.jpt.jpa.gen,2.3.100.v201309061349,"org.eclipse.jpt.jpa.gen",1429837631255
stopped,bundle,org.eclipse.jpt.jpa.core,3.4.0.v201312052110,"org.eclipse.jpt.jpa.core",1429837631255
stopped,bundle,org.eclipse.jpt.jpa.db,2.2.100.v201311150251,"org.eclipse.jpt.jpa.db",1429837631255
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201107221501,"org.eclipse.datatools.enablement.jdt.classpath",1429837631255
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.400.v20140311-1758,"org.eclipse.jdt.apt.ui",1429837631255
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.300.v201309182039,"org.eclipse.jst.server.preview.adapter",1429837631255
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1429837631255
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.300.v20140512-1926,"org.eclipse.jdt.debug.ui",1429837631255
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.1.101.v201501152048,"org.eclipse.jpt.dbws.eclipselink.ui",1429837631255
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.ui,1.4.100.v201308271450,"org.eclipse.jpt.jaxb.eclipselink.ui",1429837631255
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.5.0.v201308091549,"org.eclipse.jpt.jaxb.ui",1429837631255
stopped,bundle,org.eclipse.jpt.common.ui,1.4.0.v201310111551,"org.eclipse.jpt.common.ui",1429837631255
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201302011850,"org.eclipse.jst.common.annotations.ui",1429837631255
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.900.v201402130359,"org.eclipse.jst.ejb.ui",1429837631255
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201302011850,"org.eclipse.jst.j2ee.webservice.ui",1429837631255
stopped,bundle,org.eclipse.jst.servlet.ui,1.1.801.v201409042158,"org.eclipse.jst.servlet.ui",1429837631255
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.300.v201308151836,"org.eclipse.jst.ws.jaxws.dom.integration",1429837631256
stopped,bundle,org.eclipse.jst.jee.ui,1.0.701.v201408251535,"org.eclipse.jst.jee.ui",1429837631257
stopped,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.600.v201302011850,"org.eclipse.jst.j2ee.navigator.ui",1429837631257
